Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2010,S08000030,,65-74 years,,All,d,Subarachnoid Haemorrhage,1,,2.497378,,2.339689
2010,S08000030,,65-74 years,,Male,,Cerebrovascular Disease,16,,85.52491,,85.63039
2010,S08000030,,65-74 years,,Male,,Stroke,13,,69.48899,,69.47507
2010,S08000030,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2010,S08000030,,65-74 years,,Female,,Cerebrovascular Disease,11,,51.56089,,51.57384
2010,S08000030,,65-74 years,,Female,,Stroke,5,,23.43677,,23.41367
2010,S08000030,,65-74 years,,Female,,Subarachnoid Haemorrhage,1,,4.687354,,4.679378
2010,S08000030,,under75 years,d,All,d,Cerebrovascular Disease,51,,13.76448,,14.2125
2010,S08000030,,under75 years,d,All,d,Stroke,31,,8.366642,,8.816532
2010,S08000030,,under75 years,d,All,d,Subarachnoid Haemorrhage,7,,1.889242,,1.784566
2010,S08000030,,under75 years,d,Male,,Cerebrovascular Disease,30,,16.46416,,17.38574
2010,S08000030,,under75 years,d,Male,,Stroke,22,,12.07372,,12.98856
2010,S08000030,,under75 years,d,Male,,Subarachnoid Haemorrhage,2,,1.097611,,1.034875
2010,S08000030,,under75 years,d,Female,,Cerebrovascular Disease,21,,11.15212,,11.03927
2010,S08000030,,under75 years,d,Female,,Stroke,9,,4.77948,,4.644506
2010,S08000030,,under75 years,d,Female,,Subarachnoid Haemorrhage,5,,2.655267,,2.534257
2010,S08000030,,75plus years,,All,d,Cerebrovascular Disease,346,,946.6225,,996.5199
2010,S08000030,,75plus years,,All,d,Stroke,183,,500.6703,,521.1806
2010,S08000030,,75plus years,,All,d,Subarachnoid Haemorrhage,5,,13.67952,,10.5756
2010,S08000030,,75plus years,,Male,,Cerebrovascular Disease,123,,857.3818,,991.0352
2010,S08000030,,75plus years,,Male,,Stroke,63,,439.1468,,502.4927
2010,S08000030,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2010,S08000030,,75plus years,,Female,,Cerebrovascular Disease,223,,1004.278,,1002.005
2010,S08000030,,75plus years,,Female,,Stroke,120,,540.4188,,539.8685
2010,S08000030,,75plus years,,Female,,Subarachnoid Haemorrhage,5,,22.51745,,21.1512
2010,S08000021,,All,d,All,d,Cerebrovascular Disease,1080,,95.75826,,121.7495
2010,S08000021,,All,d,All,d,Stroke,567,,50.27309,,62.13833
2010,S08000021,,All,d,All,d,Subarachnoid Haemorrhage,45,,3.989928,,3.967039
2010,S08000021,,All,d,Male,,Cerebrovascular Disease,443,,81.8624,,133.283
2010,S08000021,,All,d,Male,,Stroke,223,,41.20839,,64.59665
2010,S08000021,,All,d,Male,,Subarachnoid Haemorrhage,15,,2.771864,,2.971684
2010,S08000021,,All,d,Female,,Cerebrovascular Disease,637,,108.5756,,110.216
2010,S08000021,,All,d,Female,,Stroke,344,,58.63423,,59.68001
2010,S08000021,,All,d,Female,,Subarachnoid Haemorrhage,30,,5.11345,,4.962394
2010,S08000021,,0-44 years,,All,d,Cerebrovascular Disease,14,,2.135149,,2.131636
2010,S08000021,,0-44 years,,All,d,Stroke,5,,0.762553,,0.80185
2010,S08000021,,0-44 years,,All,d,Subarachnoid Haemorrhage,7,,1.067574,,1.023972
2010,S08000021,,0-44 years,,Male,,Cerebrovascular Disease,7,,2.150472,,2.174845
2010,S08000021,,0-44 years,,Male,,Stroke,4,,1.228841,,1.262893
2010,S08000021,,0-44 years,,Male,,Subarachnoid Haemorrhage,2,,0.61442,,0.591594
2010,S08000021,,0-44 years,,Female,,Cerebrovascular Disease,7,,2.120043,,2.088427
2010,S08000021,,0-44 years,,Female,,Stroke,1,,0.302863,,0.340808
2010,S08000021,,0-44 years,,Female,,Subarachnoid Haemorrhage,5,,1.514316,,1.456349
2010,S08000021,,45-64 years,,All,d,Cerebrovascular Disease,98,,33.24073,,34.31604
2010,S08000021,,45-64 years,,All,d,Stroke,49,,16.62037,,17.28806
2010,S08000021,,45-64 years,,All,d,Subarachnoid Haemorrhage,21,,7.123014,,7.054097
2010,S08000021,,45-64 years,,Male,,Cerebrovascular Disease,60,,42.0221,,43.35037
2010,S08000021,,45-64 years,,Male,,Stroke,33,,23.11216,,24.12167
2010,S08000021,,45-64 years,,Male,,Subarachnoid Haemorrhage,10,,7.003684,,6.994939
2010,S08000021,,45-64 years,,Female,,Cerebrovascular Disease,38,,24.99392,,25.28172
2010,S08000021,,45-64 years,,Female,,Stroke,16,,10.52375,,10.45445
2010,S08000021,,45-64 years,,Female,,Subarachnoid Haemorrhage,11,,7.235081,,7.113256
2010,S08000021,,65-74 years,,All,d,Cerebrovascular Disease,159,,169.4283,,175.798
2010,S08000021,,65-74 years,,All,d,Stroke,97,,103.3619,,106.6953
2010,S08000021,,65-74 years,,All,d,Subarachnoid Haemorrhage,3,,3.196761,,3.169873
2010,S08000021,,65-74 years,,Male,,Cerebrovascular Disease,101,,237.0336,,239.5186
2010,S08000021,,65-74 years,,Male,,Stroke,61,,143.1589,,143.8418
2010,S08000021,,65-74 years,,Male,,Subarachnoid Haemorrhage,1,,2.346867,,2.438376
2010,S08000021,,65-74 years,,Female,,Cerebrovascular Disease,58,,113.2039,,112.0775
2010,S08000021,,65-74 years,,Female,,Stroke,36,,70.26447,,69.54872
2010,S08000021,,65-74 years,,Female,,Subarachnoid Haemorrhage,2,,3.903582,,3.901371
2010,S08000021,,under75 years,d,All,d,Cerebrovascular Disease,271,,25.94901,,31.54245
2010,S08000021,,under75 years,d,All,d,Stroke,151,,14.45867,,17.82125
2010,S08000021,,under75 years,d,All,d,Subarachnoid Haemorrhage,31,,2.968336,,3.027601
2010,S08000021,,under75 years,d,Male,,Cerebrovascular Disease,168,,32.88302,,41.55133
2010,S08000021,,under75 years,d,Male,,Stroke,98,,19.18176,,24.37098
2010,S08000021,,under75 years,d,Male,,Subarachnoid Haemorrhage,13,,2.544519,,2.669394
2010,S08000021,,under75 years,d,Female,,Cerebrovascular Disease,103,,19.30813,,21.53357
2010,S08000021,,under75 years,d,Female,,Stroke,53,,9.935252,,11.27152
2010,S08000021,,under75 years,d,Female,,Subarachnoid Haemorrhage,18,,3.374237,,3.385808
2010,S08000021,,75plus years,,All,d,Cerebrovascular Disease,809,,969.048,,1033.843
2010,S08000021,,75plus years,,All,d,Stroke,416,,498.2991,,510.2333
2010,S08000021,,75plus years,,All,d,Subarachnoid Haemorrhage,14,,16.76968,,13.4658
2010,S08000021,,75plus years,,Male,,Cerebrovascular Disease,275,,909.0909,,1060.792
2010,S08000021,,75plus years,,Male,,Stroke,125,,413.2231,,471.3228
2010,S08000021,,75plus years,,Male,,Subarachnoid Haemorrhage,2,,6.61157,,6.028164
2010,S08000021,,75plus years,,Female,,Cerebrovascular Disease,534,,1003.118,,1006.894
2010,S08000021,,75plus years,,Female,,Stroke,291,,546.6431,,549.1437
2010,S08000021,,75plus years,,Female,,Subarachnoid Haemorrhage,12,,22.54198,,20.90343
2010,S08000023,,All,d,All,d,Cerebrovascular Disease,573,,88.22714,,119.3028
2010,S08000023,,All,d,All,d,Stroke,325,,50.04157,,67.30154
2010,S08000023,,All,d,All,d,Subarachnoid Haemorrhage,11,,1.693715,,1.728138
2010,S08000023,,All,d,Male,,Cerebrovascular Disease,235,,75.13484,,125.7972
2010,S08000023,,All,d,Male,,Stroke,126,,40.28506,,68.40704
2010,S08000023,,All,d,Male,,Subarachnoid Haemorrhage,3,,0.959168,,0.938151
2010,S08000023,,All,d,Female,,Cerebrovascular Disease,338,,100.3894,,112.8084
2010,S08000023,,All,d,Female,,Stroke,199,,59.10499,,66.19604
2010,S08000023,,All,d,Female,,Subarachnoid Haemorrhage,8,,2.37608,,2.518126
2010,S08000023,,0-44 years,,All,d,Cerebrovascular Disease,9,,2.442433,,2.455335
2010,S08000023,,0-44 years,,All,d,Stroke,8,,2.171052,,2.196532
2010,S08000023,,0-44 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2010,S08000023,,0-44 years,,Male,,Cerebrovascular Disease,7,,3.820502,,3.837177
2010,S08000023,,0-44 years,,Male,,Stroke,6,,3.274716,,3.31957
2010,S08000023,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2010,S08000023,,0-44 years,,Female,,Cerebrovascular Disease,2,,1.079546,,1.073493
2010,S08000023,,0-44 years,,Female,,Stroke,2,,1.079546,,1.073493
2010,S08000023,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2010,S08000023,,45-64 years,,All,d,Cerebrovascular Disease,45,,25.18046,,25.75537
2010,S08000023,,45-64 years,,All,d,Stroke,27,,15.10828,,15.43421
2010,S08000023,,45-64 years,,All,d,Subarachnoid Haemorrhage,6,,3.357395,,3.429657
2010,S08000023,,45-64 years,,Male,,Cerebrovascular Disease,23,,26.60774,,27.18941
2010,S08000023,,45-64 years,,Male,,Stroke,14,,16.19602,,16.50347
2010,S08000023,,45-64 years,,Male,,Subarachnoid Haemorrhage,3,,3.470575,,3.540191
2010,S08000023,,45-64 years,,Female,,Cerebrovascular Disease,22,,23.84333,,24.32134
2010,S08000023,,45-64 years,,Female,,Stroke,13,,14.08924,,14.36495
2010,S08000023,,45-64 years,,Female,,Subarachnoid Haemorrhage,3,,3.251363,,3.319123
2010,S08000023,,65-74 years,,All,d,Cerebrovascular Disease,75,,129.7802,,133.5537
2010,S08000023,,65-74 years,,All,d,Stroke,40,,69.21613,,71.47437
2010,S08000023,,65-74 years,,All,d,Subarachnoid Haemorrhage,3,,5.19121,,4.733789
2010,S08000023,,65-74 years,,Male,,Cerebrovascular Disease,38,,144.2454,,149.0596
2010,S08000023,,65-74 years,,Male,,Stroke,21,,79.71455,,82.16753
2010,S08000023,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2010,S08000023,,65-74 years,,Female,,Cerebrovascular Disease,37,,117.662,,118.0479
2010,S08000023,,65-74 years,,Female,,Stroke,19,,60.42104,,60.78121
2010,S08000023,,65-74 years,,Female,,Subarachnoid Haemorrhage,3,,9.540164,,9.467578
2010,S08000023,,under75 years,d,All,d,Cerebrovascular Disease,129,,21.32284,,24.36725
2010,S08000023,,under75 years,d,All,d,Stroke,75,,12.397,,14.04506
2010,S08000023,,under75 years,d,All,d,Subarachnoid Haemorrhage,9,,1.48764,,1.544953
2010,S08000023,,under75 years,d,Male,,Cerebrovascular Disease,68,,22.97243,,27.39399
2010,S08000023,,under75 years,d,Male,,Stroke,41,,13.85102,,16.25668
2010,S08000023,,under75 years,d,Male,,Subarachnoid Haemorrhage,3,,1.01349,,1.030935
2010,S08000023,,under75 years,d,Female,,Cerebrovascular Disease,61,,19.74251,,21.34051
2010,S08000023,,under75 years,d,Female,,Stroke,34,,11.00402,,11.83343
2010,S08000023,,under75 years,d,Female,,Subarachnoid Haemorrhage,6,,1.941886,,2.058971
2010,S08000023,,75plus years,,All,d,Cerebrovascular Disease,444,,998.3137,,1079.207
2010,S08000023,,75plus years,,All,d,Stroke,250,,562.1135,,605.7838
2010,S08000023,,75plus years,,All,d,Subarachnoid Haemorrhage,2,,4.496908,,3.580349
2010,S08000023,,75plus years,,Male,,Cerebrovascular Disease,167,,996.1823,,1120.763
2010,S08000023,,75plus years,,Male,,Stroke,85,,507.0389,,595.7052
2010,S08000023,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2010,S08000023,,75plus years,,Female,,Cerebrovascular Disease,277,,999.603,,1037.65
2010,S08000023,,75plus years,,Female,,Stroke,165,,595.4314,,615.8624
2010,S08000023,,75plus years,,Female,,Subarachnoid Haemorrhage,2,,7.217351,,7.160698
2011,S92000003,d,All,d,All,d,Cerebrovascular Disease,4600,,86.79409,,102.9044
2011,S92000003,d,All,d,All,d,Stroke,2533,,47.79335,,55.636
2011,S92000003,d,All,d,All,d,Subarachnoid Haemorrhage,173,,3.264213,,3.387707
2011,S92000003,d,All,d,Male,,Cerebrovascular Disease,1767,,68.74684,,104.4854
2011,S92000003,d,All,d,Male,,Stroke,940,,36.57161,,54.28353
2011,S92000003,d,All,d,Male,,Subarachnoid Haemorrhage,63,,2.451076,,2.735807
2011,S92000003,d,All,d,Female,,Cerebrovascular Disease,2833,,103.7881,,101.3235
2011,S92000003,d,All,d,Female,,Stroke,1593,,58.3602,,56.98847
2011,S92000003,d,All,d,Female,,Subarachnoid Haemorrhage,110,,4.029894,,4.039608
2011,S92000003,d,0-44 years,,All,d,Cerebrovascular Disease,47,,1.594808,,1.646901
2011,S92000003,d,0-44 years,,All,d,Stroke,18,,0.610778,,0.636241
2011,S92000003,d,0-44 years,,All,d,Subarachnoid Haemorrhage,23,,0.780438,,0.799076
2011,S92000003,d,0-44 years,,Male,,Cerebrovascular Disease,27,,1.83555,,1.898994
2011,S92000003,d,0-44 years,,Male,,Stroke,8,,0.543867,,0.569186
2011,S92000003,d,0-44 years,,Male,,Subarachnoid Haemorrhage,13,,0.883783,,0.906641
2011,S92000003,d,0-44 years,,Female,,Cerebrovascular Disease,20,,1.354909,,1.394807
2011,S92000003,d,0-44 years,,Female,,Stroke,10,,0.677454,,0.703296
2011,S92000003,d,0-44 years,,Female,,Subarachnoid Haemorrhage,10,,0.677454,,0.691511
2011,S92000003,d,45-64 years,,All,d,Cerebrovascular Disease,305,,20.941,,21.23062
2011,S92000003,d,45-64 years,,All,d,Stroke,179,,12.28996,,12.49824
2011,S92000003,d,45-64 years,,All,d,Subarachnoid Haemorrhage,57,,3.913564,,3.943115
2011,S92000003,d,45-64 years,,Male,,Cerebrovascular Disease,172,,24.14737,,24.39476
2011,S92000003,d,45-64 years,,Male,,Stroke,112,,15.72387,,15.89756
2011,S92000003,d,45-64 years,,Male,,Subarachnoid Haemorrhage,22,,3.088617,,3.152794
2011,S92000003,d,45-64 years,,Female,,Cerebrovascular Disease,133,,17.87202,,18.06648
2011,S92000003,d,45-64 years,,Female,,Stroke,67,,9.003198,,9.098923
2011,S92000003,d,45-64 years,,Female,,Subarachnoid Haemorrhage,35,,4.703163,,4.733435
2011,S92000003,d,65-74 years,,All,d,Cerebrovascular Disease,588,,121.2921,,124.9087
2011,S92000003,d,65-74 years,,All,d,Stroke,345,,71.1663,,73.06296
2011,S92000003,d,65-74 years,,All,d,Subarachnoid Haemorrhage,40,,8.251165,,8.098565
2011,S92000003,d,65-74 years,,Male,,Cerebrovascular Disease,333,,146.645,,150.0715
2011,S92000003,d,65-74 years,,Male,,Stroke,181,,79.70794,,81.92433
2011,S92000003,d,65-74 years,,Male,,Subarachnoid Haemorrhage,16,,7.046006,,6.923175
2011,S92000003,d,65-74 years,,Female,,Cerebrovascular Disease,255,,98.95189,,99.74593
2011,S92000003,d,65-74 years,,Female,,Stroke,164,,63.63964,,64.20159
2011,S92000003,d,65-74 years,,Female,,Subarachnoid Haemorrhage,24,,9.313119,,9.273954
2011,S92000003,d,under75 years,d,All,d,Cerebrovascular Disease,940,,19.22953,,21.57237
2011,S92000003,d,under75 years,d,All,d,Stroke,542,,11.08766,,12.44749
2011,S92000003,d,under75 years,d,All,d,Subarachnoid Haemorrhage,120,,2.454833,,2.556896
2011,S92000003,d,under75 years,d,Male,,Cerebrovascular Disease,532,,22.07175,,25.54679
2011,S92000003,d,under75 years,d,Male,,Stroke,301,,12.48796,,14.42007
2011,S92000003,d,under75 years,d,Male,,Subarachnoid Haemorrhage,51,,2.115901,,2.254956
2011,S92000003,d,under75 years,d,Female,,Cerebrovascular Disease,408,,16.46492,,17.59795
2011,S92000003,d,under75 years,d,Female,,Stroke,241,,9.725605,,10.4749
2011,S92000003,d,under75 years,d,Female,,Subarachnoid Haemorrhage,69,,2.784509,,2.858837
2011,S92000003,d,75plus years,,All,d,Cerebrovascular Disease,3660,,889.2474,,925.2621
2011,S92000003,d,75plus years,,All,d,Stroke,1991,,483.7409,,492.3198
2011,S92000003,d,75plus years,,All,d,Subarachnoid Haemorrhage,53,,12.87708,,11.78813
2011,S92000003,d,75plus years,,Male,,Cerebrovascular Disease,1235,,771.9763,,902.6422
2011,S92000003,d,75plus years,,Male,,Stroke,639,,399.4274,,457.3473
2011,S92000003,d,75plus years,,Male,,Subarachnoid Haemorrhage,12,,7.500985,,7.597742
2011,S92000003,d,75plus years,,Female,,Cerebrovascular Disease,2425,,963.8123,,947.882
2011,S92000003,d,75plus years,,Female,,Stroke,1352,,537.3502,,527.2923
2011,S92000003,d,75plus years,,Female,,Subarachnoid Haemorrhage,41,,16.29538,,15.97851
2011,S08000015,,All,d,All,d,Cerebrovascular Disease,350,,93.64298,,100.7339
2011,S08000015,,All,d,All,d,Stroke,197,,52.70762,,56.41325
2011,S08000015,,All,d,All,d,Subarachnoid Haemorrhage,9,,2.407962,,2.767703
2011,S08000015,,All,d,Male,,Cerebrovascular Disease,135,,75.46326,,103.8468
2011,S08000015,,All,d,Male,,Stroke,71,,39.68809,,55.36894
2011,S08000015,,All,d,Male,,Subarachnoid Haemorrhage,4,,2.235948,,3.27979
2011,S08000015,,All,d,Female,,Cerebrovascular Disease,215,,110.3328,,97.62098
2011,S08000015,,All,d,Female,,Stroke,126,,64.66015,,57.45756
2011,S08000015,,All,d,Female,,Subarachnoid Haemorrhage,5,,2.565879,,2.255617
2011,S08000015,,0-44 years,,All,d,Cerebrovascular Disease,1,,0.517542,,0.443694
2011,S08000015,,0-44 years,,All,d,Stroke,0,,0,,0
2011,S08000015,,0-44 years,,All,d,Subarachnoid Haemorrhage,1,,0.517542,,0.443694
2011,S08000015,,0-44 years,,Male,,Cerebrovascular Disease,0,,0,,0
2011,S08000015,,0-44 years,,Male,,Stroke,0,,0,,0
2011,S08000015,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000015,,0-44 years,,Female,,Cerebrovascular Disease,1,,1.020346,,0.887388
2011,S08000015,,0-44 years,,Female,,Stroke,0,,0,,0
2011,S08000015,,0-44 years,,Female,,Subarachnoid Haemorrhage,1,,1.020346,,0.887388
2011,S08000015,,45-64 years,,All,d,Cerebrovascular Disease,19,,17.49153,,16.99189
2011,S08000015,,45-64 years,,All,d,Stroke,13,,11.96789,,11.77441
2011,S08000015,,45-64 years,,All,d,Subarachnoid Haemorrhage,3,,2.761821,,2.635259
2011,S08000015,,45-64 years,,Male,,Cerebrovascular Disease,10,,19.11753,,17.96492
2011,S08000015,,45-64 years,,Male,,Stroke,7,,13.38227,,12.69782
2011,S08000015,,45-64 years,,Male,,Subarachnoid Haemorrhage,1,,1.911753,,1.7557
2011,S08000015,,45-64 years,,Female,,Cerebrovascular Disease,9,,15.98125,,16.01885
2011,S08000015,,45-64 years,,Female,,Stroke,6,,10.65417,,10.85101
2011,S08000015,,45-64 years,,Female,,Subarachnoid Haemorrhage,2,,3.551389,,3.514818
2011,S08000015,,65-74 years,,All,d,Cerebrovascular Disease,42,,105.671,,108.7941
2011,S08000015,,65-74 years,,All,d,Stroke,27,,67.93136,,68.52647
2011,S08000015,,65-74 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000015,,65-74 years,,Male,,Cerebrovascular Disease,25,,133.4757,,136.2412
2011,S08000015,,65-74 years,,Male,,Stroke,12,,64.06834,,65.25438
2011,S08000015,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000015,,65-74 years,,Female,,Cerebrovascular Disease,17,,80.89075,,81.34703
2011,S08000015,,65-74 years,,Female,,Stroke,15,,71.37419,,71.79857
2011,S08000015,,65-74 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000015,,under75 years,d,All,d,Cerebrovascular Disease,62,,18.15036,,17.76464
2011,S08000015,,under75 years,d,All,d,Stroke,40,,11.70991,,11.33571
2011,S08000015,,under75 years,d,All,d,Subarachnoid Haemorrhage,4,,1.170991,,1.030702
2011,S08000015,,under75 years,d,Male,,Cerebrovascular Disease,35,,21.05225,,20.95168
2011,S08000015,,under75 years,d,Male,,Stroke,19,,11.42837,,11.22707
2011,S08000015,,under75 years,d,Male,,Subarachnoid Haemorrhage,1,,0.601493,,0.511275
2011,S08000015,,under75 years,d,Female,,Cerebrovascular Disease,27,,15.39883,,14.57761
2011,S08000015,,under75 years,d,Female,,Stroke,21,,11.97687,,11.44436
2011,S08000015,,under75 years,d,Female,,Subarachnoid Haemorrhage,3,,1.710981,,1.550128
2011,S08000015,,75plus years,,All,d,Cerebrovascular Disease,288,,895.2718,,939.6452
2011,S08000015,,75plus years,,All,d,Stroke,157,,488.0475,,512.1972
2011,S08000015,,75plus years,,All,d,Subarachnoid Haemorrhage,5,,15.54291,,20.33072
2011,S08000015,,75plus years,,Male,,Cerebrovascular Disease,100,,791.0141,,942.0086
2011,S08000015,,75plus years,,Male,,Stroke,52,,411.3273,,501.6923
2011,S08000015,,75plus years,,Male,,Subarachnoid Haemorrhage,3,,23.73042,,31.27254
2011,S08000015,,75plus years,,Female,,Cerebrovascular Disease,188,,962.7695,,937.2818
2011,S08000015,,75plus years,,Female,,Stroke,105,,537.717,,522.7022
2011,S08000015,,75plus years,,Female,,Subarachnoid Haemorrhage,2,,10.24223,,9.388896
2011,S08000016,,All,d,All,d,Cerebrovascular Disease,127,,111.5209,,106.2834
2011,S08000016,,All,d,All,d,Stroke,79,,69.37127,,65.25161
2011,S08000016,,All,d,All,d,Subarachnoid Haemorrhage,1,,0.878117,,0.803262
2011,S08000016,,All,d,Male,,Cerebrovascular Disease,41,,74.28209,,95.52157
2011,S08000016,,All,d,Male,,Stroke,24,,43.4822,,54.691
2011,S08000016,,All,d,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,All,d,Female,,Cerebrovascular Disease,86,,146.5451,,117.0452
2011,S08000016,,All,d,Female,,Stroke,55,,93.72071,,75.81221
2011,S08000016,,All,d,Female,,Subarachnoid Haemorrhage,1,,1.704013,,1.606525
2011,S08000016,,0-44 years,,All,d,Cerebrovascular Disease,1,,1.818446,,2.394001
2011,S08000016,,0-44 years,,All,d,Stroke,1,,1.818446,,2.394001
2011,S08000016,,0-44 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,0-44 years,,Male,,Cerebrovascular Disease,1,,3.675795,,4.788002
2011,S08000016,,0-44 years,,Male,,Stroke,1,,3.675795,,4.788002
2011,S08000016,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,0-44 years,,Female,,Cerebrovascular Disease,0,,0,,0
2011,S08000016,,0-44 years,,Female,,Stroke,0,,0,,0
2011,S08000016,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,45-64 years,,All,d,Cerebrovascular Disease,4,,11.45213,,10.93078
2011,S08000016,,45-64 years,,All,d,Stroke,3,,8.589098,,7.899603
2011,S08000016,,45-64 years,,All,d,Subarachnoid Haemorrhage,1,,2.863033,,3.031179
2011,S08000016,,45-64 years,,Male,,Cerebrovascular Disease,1,,5.797101,,5.13879
2011,S08000016,,45-64 years,,Male,,Stroke,1,,5.797101,,5.13879
2011,S08000016,,45-64 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,45-64 years,,Female,,Cerebrovascular Disease,3,,16.97025,,16.72277
2011,S08000016,,45-64 years,,Female,,Stroke,2,,11.3135,,10.66042
2011,S08000016,,45-64 years,,Female,,Subarachnoid Haemorrhage,1,,5.656749,,6.062358
2011,S08000016,,65-74 years,,All,d,Cerebrovascular Disease,15,,114.8721,,121.4456
2011,S08000016,,65-74 years,,All,d,Stroke,9,,68.92327,,71.89184
2011,S08000016,,65-74 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,65-74 years,,Male,,Cerebrovascular Disease,10,,160.1794,,168.1457
2011,S08000016,,65-74 years,,Male,,Stroke,4,,64.07176,,69.03813
2011,S08000016,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,65-74 years,,Female,,Cerebrovascular Disease,5,,73.36757,,74.74555
2011,S08000016,,65-74 years,,Female,,Stroke,5,,73.36757,,74.74555
2011,S08000016,,65-74 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,under75 years,d,All,d,Cerebrovascular Disease,20,,19.42162,,18.61671
2011,S08000016,,under75 years,d,All,d,Stroke,13,,12.62406,,12.01626
2011,S08000016,,under75 years,d,All,d,Subarachnoid Haemorrhage,1,,0.971081,,0.882706
2011,S08000016,,under75 years,d,Male,,Cerebrovascular Disease,12,,23.66957,,23.73912
2011,S08000016,,under75 years,d,Male,,Stroke,6,,11.83479,,12.30363
2011,S08000016,,under75 years,d,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,under75 years,d,Female,,Cerebrovascular Disease,8,,15.30222,,13.49431
2011,S08000016,,under75 years,d,Female,,Stroke,7,,13.38944,,11.72889
2011,S08000016,,under75 years,d,Female,,Subarachnoid Haemorrhage,1,,1.912777,,1.765412
2011,S08000016,,75plus years,,All,d,Cerebrovascular Disease,107,,981.4713,,992.6909
2011,S08000016,,75plus years,,All,d,Stroke,66,,605.3935,,603.5201
2011,S08000016,,75plus years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,75plus years,,Male,,Cerebrovascular Disease,29,,644.8744,,821.322
2011,S08000016,,75plus years,,Male,,Stroke,18,,400.2668,,483.2744
2011,S08000016,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000016,,75plus years,,Female,,Cerebrovascular Disease,78,,1217.799,,1164.06
2011,S08000016,,75plus years,,Female,,Stroke,48,,749.4145,,723.7658
2011,S08000016,,75plus years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000017,,All,d,All,d,Cerebrovascular Disease,148,,97.74784,,88.36032
2011,S08000017,,All,d,All,d,Stroke,92,,60.76217,,55.5685
2011,S08000017,,All,d,All,d,Subarachnoid Haemorrhage,5,,3.302292,,2.856412
2011,S08000017,,All,d,Male,,Cerebrovascular Disease,55,,74.95332,,83.33496
2011,S08000017,,All,d,Male,,Stroke,32,,43.60921,,50.55508
2011,S08000017,,All,d,Male,,Subarachnoid Haemorrhage,3,,4.088363,,3.657772
2011,S08000017,,All,d,Female,,Cerebrovascular Disease,93,,119.1834,,93.38569
2011,S08000017,,All,d,Female,,Stroke,60,,76.89252,,60.58193
2011,S08000017,,All,d,Female,,Subarachnoid Haemorrhage,2,,2.563084,,2.055052
2011,S08000017,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2011,S08000017,,0-44 years,,All,d,Stroke,0,,0,,0
2011,S08000017,,0-44 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000017,,0-44 years,,Male,,Cerebrovascular Disease,0,,0,,0
2011,S08000017,,0-44 years,,Male,,Stroke,0,,0,,0
2011,S08000017,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000017,,0-44 years,,Female,,Cerebrovascular Disease,0,,0,,0
2011,S08000017,,0-44 years,,Female,,Stroke,0,,0,,0
2011,S08000017,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2011,S08000017,,45-64 years,,All,d,Cerebrovascular Disease,6,,13.1406,,13.33048
2011,S08000017,,45-64 years,,All,d,Stroke,2,,4.380201,,4.360145
2011,S08000017,,45-64 years,,All,d,Subarachnoid Haemorrhage,2,,4.380201,,4.485166
2011,S08000017,,45-64 years,,Male,,Cerebrovascular Disease,4,,17.8755,,18.09297
2011,S08000017,,45-64 years,,Male,,Stroke,2,,8.937749,,8.720289
2011,S08000017,,45-64 years,,Male,,Subarachnoid Haemorrhage,1,,4.468874,,4.68634
2011,S08000017,,45-64 years,,Female,,Cerebrovascular Disease,2,,8.589958,,8.567984
