approx_year,council_area_named,age_group,sex,diagnosis,number_of_discharges,crude_rate_discharge,easr_discharge,number_of_deaths,crude_rate_mortality,easr_mortality,hospitalstays,crude_rate_stays
2011,Glasgow City,65-74 years,Male,TIAs and related syndromes,NA,NA,151.57534047000001,NA,NA,NA,NA,NA
2011,Glasgow City,75plus years,Female,Cerebrovascular Disease,NA,NA,1444.7108646375,NA,NA,988.75,NA,NA
2011,Glasgow City,75plus years,Female,Stroke,NA,NA,970.7506041522499,NA,NA,439.28,NA,NA
2011,Glasgow City,75plus years,Female,Subarachnoid Haemorrhage,NA,NA,32.75660478475,NA,NA,18.96,NA,NA
2011,Glasgow City,75plus years,Female,TIAs and related syndromes,NA,NA,263.340625305,NA,NA,NA,NA,NA
2011,Glasgow City,75plus years,Male,Cerebrovascular Disease,NA,NA,1867.4781590325,NA,NA,1228.56,NA,NA
2011,Glasgow City,75plus years,Male,Stroke,NA,NA,1286.527190955,NA,NA,605.82,NA,NA
2011,Glasgow City,75plus years,Male,Subarachnoid Haemorrhage,0,0,19.5229528175,0,0,0,NA,NA
2011,Glasgow City,75plus years,Male,TIAs and related syndromes,0,0,266.998139475,NA,NA,NA,NA,NA
2011,Highland,0-44 years,Female,Cerebrovascular Disease,NA,NA,18.971389414,0,0,0,NA,NA
2011,Highland,0-44 years,Female,Stroke,0,0,11.584959145,0,0,0,NA,NA
2011,Highland,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Highland,0-44 years,Female,TIAs and related syndromes,0,0,0.9003308075,NA,NA,NA,NA,NA
2011,Highland,0-44 years,Male,Cerebrovascular Disease,NA,NA,17.88686263475,0,0,0,NA,NA
2011,Highland,0-44 years,Male,Stroke,0,0,10.01663269,0,0,0,NA,NA
2011,Highland,0-44 years,Male,Subarachnoid Haemorrhage,0,0,1.8268844312499999,0,0,0,NA,NA
2011,Highland,0-44 years,Male,TIAs and related syndromes,0,0,1.60611609,NA,NA,NA,NA,NA
2011,Highland,45-64 years,Female,Cerebrovascular Disease,NA,NA,171.150852945,NA,NA,22.17,NA,NA
2011,Highland,45-64 years,Female,Stroke,0,0,80.543469945,NA,NA,8.27,NA,NA
2011,Highland,45-64 years,Female,Subarachnoid Haemorrhage,0,0,37.662787487500005,NA,NA,5.62,NA,NA
2011,Highland,45-64 years,Female,TIAs and related syndromes,NA,NA,19.79675520625,NA,NA,NA,NA,NA
2011,Highland,45-64 years,Male,Cerebrovascular Disease,NA,NA,242.5566658925,NA,NA,3,NA,NA
2011,Highland,45-64 years,Male,Stroke,NA,NA,163.47307317975,NA,NA,3,NA,NA
2011,Highland,45-64 years,Male,Subarachnoid Haemorrhage,0,0,27.140050585,0,0,0,NA,NA
2011,Highland,45-64 years,Male,TIAs and related syndromes,0,0,22.5581935505,NA,NA,NA,NA,NA
2011,Highland,65-74 years,Female,Cerebrovascular Disease,NA,NA,674.407105595,NA,NA,138.95,NA,NA
2011,Highland,65-74 years,Female,Stroke,0,0,485.94391410000003,NA,NA,65.25,NA,NA
2011,Highland,65-74 years,Female,Subarachnoid Haemorrhage,0,0,16.504323095,NA,NA,32.24,NA,NA
2011,Highland,65-74 years,Female,TIAs and related syndromes,0,0,41.06987574,NA,NA,NA,NA,NA
2011,Highland,65-74 years,Male,Cerebrovascular Disease,NA,NA,839.5298606,NA,NA,137.95,NA,NA
2011,Highland,65-74 years,Male,Stroke,NA,NA,667.36611947,NA,NA,73.83,NA,NA
2011,Highland,65-74 years,Male,Subarachnoid Haemorrhage,0,0,9.700356004,0,0,0,NA,NA
2011,Highland,65-74 years,Male,TIAs and related syndromes,0,0,55.3699359,NA,NA,NA,NA,NA
2011,Highland,75plus years,Female,Cerebrovascular Disease,NA,NA,1734.8831910925,NA,NA,1176.65,NA,NA
2011,Highland,75plus years,Female,Stroke,NA,NA,1423.1898320725,NA,NA,694.81,NA,NA
2011,Highland,75plus years,Female,Subarachnoid Haemorrhage,0,0,28.754223277500003,NA,NA,7.96,NA,NA
2011,Highland,75plus years,Female,TIAs and related syndromes,NA,NA,180.532313481,NA,NA,NA,NA,NA
2011,Highland,75plus years,Male,Cerebrovascular Disease,NA,NA,1893.1824331,NA,NA,982.88,NA,NA
2011,Highland,75plus years,Male,Stroke,NA,NA,1343.5077268625,NA,NA,479.36,NA,NA
2011,Highland,75plus years,Male,Subarachnoid Haemorrhage,0,0,17.3523710875,NA,NA,11.8,NA,NA
2011,Highland,75plus years,Male,TIAs and related syndromes,NA,NA,203.919455995,NA,NA,NA,NA,NA
2011,Inverclyde,0-44 years,Female,Cerebrovascular Disease,NA,NA,32.737247906,0,0,0,NA,NA
2011,Inverclyde,0-44 years,Female,Stroke,0,0,22.756617685,0,0,0,NA,NA
2011,Inverclyde,0-44 years,Female,Subarachnoid Haemorrhage,0,0,5.260982885,0,0,0,NA,NA
2011,Inverclyde,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2011,Inverclyde,0-44 years,Male,Cerebrovascular Disease,0,0,11.08483513,NA,NA,4.67,NA,NA
2011,Inverclyde,0-44 years,Male,Stroke,0,0,8.12878477675,0,0,0,NA,NA
2011,Inverclyde,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,NA,NA,4.67,NA,NA
2011,Inverclyde,0-44 years,Male,TIAs and related syndromes,0,0,2.956050353,NA,NA,NA,NA,NA
2011,Inverclyde,45-64 years,Female,Cerebrovascular Disease,NA,NA,219.92509099775,NA,NA,51.34,NA,NA
2011,Inverclyde,45-64 years,Female,Stroke,NA,NA,94.08545713024999,NA,NA,25.23,NA,NA
2011,Inverclyde,45-64 years,Female,Subarachnoid Haemorrhage,0,0,35.173976935,NA,NA,17.07,NA,NA
2011,Inverclyde,45-64 years,Female,TIAs and related syndromes,0,0,57.439563655,NA,NA,NA,NA,NA
2011,Inverclyde,45-64 years,Male,Cerebrovascular Disease,NA,NA,297.5689227025,NA,NA,8.66,NA,NA
2011,Inverclyde,45-64 years,Male,Stroke,NA,NA,199.47747149625002,NA,NA,8.66,NA,NA
2011,Inverclyde,45-64 years,Male,Subarachnoid Haemorrhage,0,0,17.32705433975,0,0,0,NA,NA
2011,Inverclyde,45-64 years,Male,TIAs and related syndromes,0,0,59.0349209425,NA,NA,NA,NA,NA
2011,Inverclyde,65-74 years,Female,Cerebrovascular Disease,NA,NA,417.9698422175,NA,NA,46.62,NA,NA
2011,Inverclyde,65-74 years,Female,Stroke,NA,NA,278.9101011675,NA,NA,46.62,NA,NA
2011,Inverclyde,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Inverclyde,65-74 years,Female,TIAs and related syndromes,0,0,69.66164036,NA,NA,NA,NA,NA
2011,Inverclyde,65-74 years,Male,Cerebrovascular Disease,NA,NA,724.8607791,NA,NA,279.71,NA,NA
2011,Inverclyde,65-74 years,Male,Stroke,0,0,581.0368925,NA,NA,114.27,NA,NA
2011,Inverclyde,65-74 years,Male,Subarachnoid Haemorrhage,0,0,14.77934439,0,0,0,NA,NA
2011,Inverclyde,65-74 years,Male,TIAs and related syndromes,0,0,116.24997650750001,NA,NA,NA,NA,NA
2011,Inverclyde,75plus years,Female,Cerebrovascular Disease,NA,NA,1268.14544898,NA,NA,1004.58,NA,NA
2011,Inverclyde,75plus years,Female,Stroke,NA,NA,851.154767555,NA,NA,461.22,NA,NA
2011,Inverclyde,75plus years,Female,Subarachnoid Haemorrhage,0,0,72.229825355,NA,NA,20.47,NA,NA
2011,Inverclyde,75plus years,Female,TIAs and related syndromes,0,0,244.4347963,NA,NA,NA,NA,NA
2011,Inverclyde,75plus years,Male,Cerebrovascular Disease,NA,NA,1288.8174071425,NA,NA,1157.13,NA,NA
2011,Inverclyde,75plus years,Male,Stroke,NA,NA,887.547502025,NA,NA,715.93,NA,NA
2011,Inverclyde,75plus years,Male,Subarachnoid Haemorrhage,0,0,57.63024435,NA,NA,38.42,NA,NA
2011,Inverclyde,75plus years,Male,TIAs and related syndromes,0,0,217.17172935,NA,NA,NA,NA,NA
2011,Midlothian,0-44 years,Female,Cerebrovascular Disease,NA,NA,46.4904051375,0,0,0,NA,NA
2011,Midlothian,0-44 years,Female,Stroke,NA,NA,12.97669939475,0,0,0,NA,NA
2011,Midlothian,0-44 years,Female,Subarachnoid Haemorrhage,NA,NA,24.862572811,0,0,0,NA,NA
2011,Midlothian,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2011,Midlothian,0-44 years,Male,Cerebrovascular Disease,0,0,8.684318911,NA,NA,9.59,NA,NA
2011,Midlothian,0-44 years,Male,Stroke,0,0,6.39619883025,0,0,0,NA,NA
2011,Midlothian,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,NA,NA,4.26,NA,NA
2011,Midlothian,0-44 years,Male,TIAs and related syndromes,0,0,2.2881200805,NA,NA,NA,NA,NA
2011,Midlothian,45-64 years,Female,Cerebrovascular Disease,NA,NA,210.242466015,0,0,0,NA,NA
2011,Midlothian,45-64 years,Female,Stroke,0,0,113.5818368,0,0,0,NA,NA
2011,Midlothian,45-64 years,Female,Subarachnoid Haemorrhage,0,0,11.602530456,0,0,0,NA,NA
2011,Midlothian,45-64 years,Female,TIAs and related syndromes,0,0,15.879683355249998,NA,NA,NA,NA,NA
2011,Midlothian,45-64 years,Male,Cerebrovascular Disease,NA,NA,261.4499846975,NA,NA,9.18,NA,NA
2011,Midlothian,45-64 years,Male,Stroke,NA,NA,221.876364,0,0,0,NA,NA
2011,Midlothian,45-64 years,Male,Subarachnoid Haemorrhage,0,0,0,NA,NA,9.18,NA,NA
2011,Midlothian,45-64 years,Male,TIAs and related syndromes,0,0,26.696882965,NA,NA,NA,NA,NA
2011,Midlothian,65-74 years,Female,Cerebrovascular Disease,NA,NA,653.7608555225,NA,NA,144.18,NA,NA
2011,Midlothian,65-74 years,Female,Stroke,0,0,570.297813025,NA,NA,70.81,NA,NA
2011,Midlothian,65-74 years,Female,Subarachnoid Haemorrhage,0,0,45.48932035,NA,NA,22.74,NA,NA
2011,Midlothian,65-74 years,Female,TIAs and related syndromes,0,0,37.973722185,NA,NA,NA,NA,NA
2011,Midlothian,65-74 years,Male,Cerebrovascular Disease,NA,NA,855.3650520175,NA,NA,29.27,NA,NA
2011,Midlothian,65-74 years,Male,Stroke,0,0,703.835225425,NA,NA,29.27,NA,NA
2011,Midlothian,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Midlothian,65-74 years,Male,TIAs and related syndromes,0,0,97.715918695,NA,NA,NA,NA,NA
2011,Midlothian,75plus years,Female,Cerebrovascular Disease,0,0,1413.04640275,NA,NA,809.53,NA,NA
2011,Midlothian,75plus years,Female,Stroke,0,0,1241.4408515,NA,NA,611.9,NA,NA
2011,Midlothian,75plus years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Midlothian,75plus years,Female,TIAs and related syndromes,0,0,120.21280795999999,NA,NA,NA,NA,NA
2011,Midlothian,75plus years,Male,Cerebrovascular Disease,NA,NA,1035.6287399100001,NA,NA,782.41,NA,NA
2011,Midlothian,75plus years,Male,Stroke,0,0,601.1452906,NA,NA,172.24,NA,NA
2011,Midlothian,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Midlothian,75plus years,Male,TIAs and related syndromes,0,0,152.5291828975,NA,NA,NA,NA,NA
2011,Moray,0-44 years,Female,Cerebrovascular Disease,0,0,55.9748929025,0,0,0,NA,NA
2011,Moray,0-44 years,Female,Stroke,0,0,26.496864565,0,0,0,NA,NA
2011,Moray,0-44 years,Female,Subarachnoid Haemorrhage,0,0,23.950898025,0,0,0,NA,NA
2011,Moray,0-44 years,Female,TIAs and related syndromes,0,0,5.5271303145,NA,NA,NA,NA,NA
2011,Moray,0-44 years,Male,Cerebrovascular Disease,0,0,14.48236937,0,0,0,NA,NA
2011,Moray,0-44 years,Male,Stroke,0,0,3.648455661,0,0,0,NA,NA
2011,Moray,0-44 years,Male,Subarachnoid Haemorrhage,0,0,9.12113915025,0,0,0,NA,NA
2011,Moray,0-44 years,Male,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2011,Moray,45-64 years,Female,Cerebrovascular Disease,NA,NA,89.375625642,NA,NA,16.03,NA,NA
2011,Moray,45-64 years,Female,Stroke,0,0,75.168899155,0,0,0,NA,NA
2011,Moray,45-64 years,Female,Subarachnoid Haemorrhage,0,0,3.402691529,NA,NA,8.04,NA,NA
2011,Moray,45-64 years,Female,TIAs and related syndromes,0,0,3.998651883,NA,NA,NA,NA,NA
2011,Moray,45-64 years,Male,Cerebrovascular Disease,0,0,181.3196738,NA,NA,23.01,NA,NA
2011,Moray,45-64 years,Male,Stroke,0,0,90.438273205,NA,NA,23.01,NA,NA
2011,Moray,45-64 years,Male,Subarachnoid Haemorrhage,0,0,42.569668755,0,0,0,NA,NA
2011,Moray,45-64 years,Male,TIAs and related syndromes,0,0,40.270607215,NA,NA,NA,NA,NA
2011,Moray,65-74 years,Female,Cerebrovascular Disease,NA,NA,640.292443585,NA,NA,62.05,NA,NA
2011,Moray,65-74 years,Female,Stroke,0,0,389.23515585,NA,NA,62.05,NA,NA
2011,Moray,65-74 years,Female,Subarachnoid Haemorrhage,0,0,139.9190154575,0,0,0,NA,NA
2011,Moray,65-74 years,Female,TIAs and related syndromes,NA,NA,78.99220064000001,NA,NA,NA,NA,NA
2011,Moray,65-74 years,Male,Cerebrovascular Disease,NA,NA,961.538728495,NA,NA,225.19,NA,NA
2011,Moray,65-74 years,Male,Stroke,0,0,465.237820175,NA,NA,156.68,NA,NA
2011,Moray,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Moray,65-74 years,Male,TIAs and related syndromes,0,0,56.29837459,NA,NA,NA,NA,NA
2011,Moray,75plus years,Female,Cerebrovascular Disease,NA,NA,1463.0855760025,NA,NA,926.52,NA,NA
2011,Moray,75plus years,Female,Stroke,0,0,1221.007428,NA,NA,461.99,NA,NA
2011,Moray,75plus years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Moray,75plus years,Female,TIAs and related syndromes,0,0,135.848479245,NA,NA,NA,NA,NA
2011,Moray,75plus years,Male,Cerebrovascular Disease,NA,NA,1735.6484664050001,NA,NA,778,NA,NA
2011,Moray,75plus years,Male,Stroke,0,0,1353.5665705,NA,NA,319.14,NA,NA
2011,Moray,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Moray,75plus years,Male,TIAs and related syndromes,0,0,236.9053924,NA,NA,NA,NA,NA
2011,Na h-Eileanan Siar,0-44 years,Female,Cerebrovascular Disease,0,0,25.0703659175,0,0,0,NA,NA
2011,Na h-Eileanan Siar,0-44 years,Female,Stroke,0,0,17.0980639725,0,0,0,NA,NA
2011,Na h-Eileanan Siar,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Na h-Eileanan Siar,0-44 years,Female,TIAs and related syndromes,0,0,7.972301945,NA,NA,NA,NA,NA
2011,Na h-Eileanan Siar,0-44 years,Male,Cerebrovascular Disease,0,0,15.925015925,0,0,0,NA,NA
2011,Na h-Eileanan Siar,0-44 years,Male,Stroke,0,0,15.925015925,0,0,0,NA,NA
2011,Na h-Eileanan Siar,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Na h-Eileanan Siar,0-44 years,Male,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2011,Na h-Eileanan Siar,45-64 years,Female,Cerebrovascular Disease,NA,NA,48.2275766275,0,0,0,NA,NA
2011,Na h-Eileanan Siar,45-64 years,Female,Stroke,0,0,24.901829327500003,0,0,0,NA,NA
2011,Na h-Eileanan Siar,45-64 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Na h-Eileanan Siar,45-64 years,Female,TIAs and related syndromes,0,0,12.47171593,NA,NA,NA,NA,NA
2011,Na h-Eileanan Siar,45-64 years,Male,Cerebrovascular Disease,0,0,142.27021005,NA,NA,20.05,NA,NA
2011,Na h-Eileanan Siar,45-64 years,Male,Stroke,0,0,79.4344420975,NA,NA,20.05,NA,NA
2011,Na h-Eileanan Siar,45-64 years,Male,Subarachnoid Haemorrhage,0,0,30.08172201,0,0,0,NA,NA
2011,Na h-Eileanan Siar,45-64 years,Male,TIAs and related syndromes,0,0,22.726805255,NA,NA,NA,NA,NA
2011,Na h-Eileanan Siar,65-74 years,Female,Cerebrovascular Disease,NA,NA,447.062293725,NA,NA,119.63,NA,NA
2011,Na h-Eileanan Siar,65-74 years,Female,Stroke,0,0,240.276779175,0,0,0,NA,NA
2011,Na h-Eileanan Siar,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,NA,NA,60.84,NA,NA
2011,Na h-Eileanan Siar,65-74 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2011,Na h-Eileanan Siar,65-74 years,Male,Cerebrovascular Disease,0,0,348.38256195,NA,NA,67.35,NA,NA
2011,Na h-Eileanan Siar,65-74 years,Male,Stroke,0,0,226.28243985,NA,NA,67.35,NA,NA
2011,Na h-Eileanan Siar,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Na h-Eileanan Siar,65-74 years,Male,TIAs and related syndromes,0,0,30.525030525,NA,NA,NA,NA,NA
2011,Na h-Eileanan Siar,75plus years,Female,Cerebrovascular Disease,0,0,1358.452742,NA,NA,470.03,NA,NA
2011,Na h-Eileanan Siar,75plus years,Female,Stroke,0,0,1130.903085,NA,NA,260.61,NA,NA
2011,Na h-Eileanan Siar,75plus years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Na h-Eileanan Siar,75plus years,Female,TIAs and related syndromes,0,0,194.2329821725,NA,NA,NA,NA,NA
2011,Na h-Eileanan Siar,75plus years,Male,Cerebrovascular Disease,NA,NA,1382.8943841,NA,NA,257.42,NA,NA
2011,Na h-Eileanan Siar,75plus years,Male,Stroke,0,0,942.4217384,NA,NA,168.35,NA,NA
2011,Na h-Eileanan Siar,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Na h-Eileanan Siar,75plus years,Male,TIAs and related syndromes,0,0,200.80321285,NA,NA,NA,NA,NA
2011,North Ayrshire,0-44 years,Female,Cerebrovascular Disease,NA,NA,30.3481450075,0,0,0,NA,NA
2011,North Ayrshire,0-44 years,Female,Stroke,NA,NA,18.36468429375,0,0,0,NA,NA
2011,North Ayrshire,0-44 years,Female,Subarachnoid Haemorrhage,0,0,4.4597349645,0,0,0,NA,NA
2011,North Ayrshire,0-44 years,Female,TIAs and related syndromes,NA,NA,3.62228845825,NA,NA,NA,NA,NA
2011,North Ayrshire,0-44 years,Male,Cerebrovascular Disease,NA,NA,16.561616205500002,0,0,0,NA,NA
2011,North Ayrshire,0-44 years,Male,Stroke,0,0,8.5869310835,0,0,0,NA,NA
2011,North Ayrshire,0-44 years,Male,Subarachnoid Haemorrhage,0,0,3.430262758,0,0,0,NA,NA
2011,North Ayrshire,0-44 years,Male,TIAs and related syndromes,0,0,1.715131379,NA,NA,NA,NA,NA
2011,North Ayrshire,45-64 years,Female,Cerebrovascular Disease,NA,NA,122.92597809749999,NA,NA,14.74,NA,NA
2011,North Ayrshire,45-64 years,Female,Stroke,0,0,77.4919869475,NA,NA,9.67,NA,NA
2011,North Ayrshire,45-64 years,Female,Subarachnoid Haemorrhage,0,0,2.3005656105,NA,NA,5.07,NA,NA
2011,North Ayrshire,45-64 years,Female,TIAs and related syndromes,0,0,18.9362218245,NA,NA,NA,NA,NA
2011,North Ayrshire,45-64 years,Male,Cerebrovascular Disease,0,0,259.06302495,NA,NA,25,NA,NA
2011,North Ayrshire,45-64 years,Male,Stroke,0,0,159.5010003,NA,NA,15.51,NA,NA
2011,North Ayrshire,45-64 years,Male,Subarachnoid Haemorrhage,0,0,5.1076693555,0,0,0,NA,NA
2011,North Ayrshire,45-64 years,Male,TIAs and related syndromes,0,0,53.249705705,NA,NA,NA,NA,NA
2011,North Ayrshire,65-74 years,Female,Cerebrovascular Disease,NA,NA,457.52574111,NA,NA,101.92,NA,NA
2011,North Ayrshire,65-74 years,Female,Stroke,0,0,300.955052,NA,NA,76.21,NA,NA
2011,North Ayrshire,65-74 years,Female,Subarachnoid Haemorrhage,0,0,26.6325769675,0,0,0,NA,NA
2011,North Ayrshire,65-74 years,Female,TIAs and related syndromes,0,0,111.34572482749999,NA,NA,NA,NA,NA
2011,North Ayrshire,65-74 years,Male,Cerebrovascular Disease,NA,NA,750.202901125,NA,NA,137.11,NA,NA
2011,North Ayrshire,65-74 years,Male,Stroke,NA,NA,461.285963445,NA,NA,58.76,NA,NA
2011,North Ayrshire,65-74 years,Male,Subarachnoid Haemorrhage,0,0,13.7122912,0,0,0,NA,NA
2011,North Ayrshire,65-74 years,Male,TIAs and related syndromes,0,0,163.555856465,NA,NA,NA,NA,NA
2011,North Ayrshire,75plus years,Female,Cerebrovascular Disease,NA,NA,1428.8945265125,NA,NA,900.82,NA,NA
2011,North Ayrshire,75plus years,Female,Stroke,0,0,1007.92696915,NA,NA,575.12,NA,NA
2011,North Ayrshire,75plus years,Female,Subarachnoid Haemorrhage,0,0,6.78831324,NA,NA,26.72,NA,NA
2011,North Ayrshire,75plus years,Female,TIAs and related syndromes,0,0,285.319296575,NA,NA,NA,NA,NA
2011,North Ayrshire,75plus years,Male,Cerebrovascular Disease,NA,NA,1412.8619135975,NA,NA,834.47,NA,NA
2011,North Ayrshire,75plus years,Male,Stroke,0,0,917.149549075,NA,NA,436.93,NA,NA
2011,North Ayrshire,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,NA,NA,21.24,NA,NA
2011,North Ayrshire,75plus years,Male,TIAs and related syndromes,0,0,283.34991715,NA,NA,NA,NA,NA
2011,North Lanarkshire,0-44 years,Female,Cerebrovascular Disease,NA,NA,18.4812832895,0,0,0,NA,NA
2011,North Lanarkshire,0-44 years,Female,Stroke,NA,NA,10.6062099395,0,0,0,NA,NA
2011,North Lanarkshire,0-44 years,Female,Subarachnoid Haemorrhage,0,0,2.0924539205,0,0,0,NA,NA
2011,North Lanarkshire,0-44 years,Female,TIAs and related syndromes,0,0,2.70485024675,NA,NA,NA,NA,NA
2011,North Lanarkshire,0-44 years,Male,Cerebrovascular Disease,NA,NA,28.30520024325,NA,NA,2,NA,NA
2011,North Lanarkshire,0-44 years,Male,Stroke,0,0,18.07609251,NA,NA,1,NA,NA
2011,North Lanarkshire,0-44 years,Male,Subarachnoid Haemorrhage,0,0,4.3115746055,0,0,0,NA,NA
2011,North Lanarkshire,0-44 years,Male,TIAs and related syndromes,0,0,3.683503051,NA,NA,NA,NA,NA
2011,North Lanarkshire,45-64 years,Female,Cerebrovascular Disease,NA,NA,202.68140796,NA,NA,22,NA,NA
2011,North Lanarkshire,45-64 years,Female,Stroke,NA,NA,100.03687326725,NA,NA,8.82,NA,NA
2011,North Lanarkshire,45-64 years,Female,Subarachnoid Haemorrhage,0,0,36.80613944,NA,NA,6.59,NA,NA
2011,North Lanarkshire,45-64 years,Female,TIAs and related syndromes,0,0,29.93741105,NA,NA,NA,NA,NA
2011,North Lanarkshire,45-64 years,Male,Cerebrovascular Disease,NA,NA,273.3619061375,NA,NA,35.17,NA,NA
2011,North Lanarkshire,45-64 years,Male,Stroke,NA,NA,206.83949529950002,NA,NA,23.28,NA,NA
2011,North Lanarkshire,45-64 years,Male,Subarachnoid Haemorrhage,NA,NA,7.074283215,NA,NA,2.48,NA,NA
2011,North Lanarkshire,45-64 years,Male,TIAs and related syndromes,0,0,33.6310941175,NA,NA,NA,NA,NA
2011,North Lanarkshire,65-74 years,Female,Cerebrovascular Disease,NA,NA,689.7652855,NA,NA,114.62,NA,NA
2011,North Lanarkshire,65-74 years,Female,Stroke,NA,NA,473.297361412,NA,NA,82.6,NA,NA
2011,North Lanarkshire,65-74 years,Female,Subarachnoid Haemorrhage,0,0,12.5118615895,NA,NA,6.19,NA,NA
2011,North Lanarkshire,65-74 years,Female,TIAs and related syndromes,0,0,105.07236916000001,NA,NA,NA,NA,NA
2011,North Lanarkshire,65-74 years,Male,Cerebrovascular Disease,NA,NA,1054.2841204224999,NA,NA,151.71,NA,NA
2011,North Lanarkshire,65-74 years,Male,Stroke,0,0,664.14725405,NA,NA,75.85,NA,NA
2011,North Lanarkshire,65-74 years,Male,Subarachnoid Haemorrhage,NA,NA,27.2526171155,0,0,0,NA,NA
2011,North Lanarkshire,65-74 years,Male,TIAs and related syndromes,NA,NA,179.42846399249999,NA,NA,NA,NA,NA
2011,North Lanarkshire,75plus years,Female,Cerebrovascular Disease,NA,NA,2221.7942286925,NA,NA,1024.84,NA,NA
2011,North Lanarkshire,75plus years,Female,Stroke,NA,NA,1624.50434538875,NA,NA,588.6,NA,NA
2011,North Lanarkshire,75plus years,Female,Subarachnoid Haemorrhage,0,0,47.809904617499996,NA,NA,31.72,NA,NA
2011,North Lanarkshire,75plus years,Female,TIAs and related syndromes,NA,NA,286.31844413125,NA,NA,NA,NA,NA
2011,North Lanarkshire,75plus years,Male,Cerebrovascular Disease,NA,NA,2382.66498687,NA,NA,994.38,NA,NA
2011,North Lanarkshire,75plus years,Male,Stroke,NA,NA,1649.435323045,NA,NA,430.23,NA,NA
2011,North Lanarkshire,75plus years,Male,Subarachnoid Haemorrhage,0,0,5.461615765,NA,NA,10.92,NA,NA
2011,North Lanarkshire,75plus years,Male,TIAs and related syndromes,0,0,186.88568885,NA,NA,NA,NA,NA
2011,Orkney Islands,0-44 years,Female,Cerebrovascular Disease,0,0,0,0,0,0,NA,NA
2011,Orkney Islands,0-44 years,Female,Stroke,0,0,0,0,0,0,NA,NA
2011,Orkney Islands,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Orkney Islands,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2011,Orkney Islands,0-44 years,Male,Cerebrovascular Disease,0,0,39.8820527875,0,0,0,NA,NA
2011,Orkney Islands,0-44 years,Male,Stroke,0,0,39.8820527875,0,0,0,NA,NA
2011,Orkney Islands,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Orkney Islands,0-44 years,Male,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2011,Orkney Islands,45-64 years,Female,Cerebrovascular Disease,0,0,190.02595845,NA,NA,65.92,NA,NA
2011,Orkney Islands,45-64 years,Female,Stroke,0,0,174.505926525,NA,NA,32.23,NA,NA
2011,Orkney Islands,45-64 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Orkney Islands,45-64 years,Female,TIAs and related syndromes,0,0,15.520031925,NA,NA,NA,NA,NA
2011,Orkney Islands,45-64 years,Male,Cerebrovascular Disease,0,0,108.15695314,0,0,0,NA,NA
2011,Orkney Islands,45-64 years,Male,Stroke,0,0,92.1089006925,0,0,0,NA,NA
2011,Orkney Islands,45-64 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2011,Orkney Islands,45-64 years,Male,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2011,Orkney Islands,65-74 years,Female,Cerebrovascular Disease,0,0,367.84376672499997,0,0,0,NA,NA
2011,Orkney Islands,65-74 years,Female,Stroke,0,0,257.4906367,0,0,0,NA,NA
2011,Orkney Islands,65-74 years,Female,Subarachnoid Haemorrhage,0,0,110.35313,0,0,0,NA,NA
2011,Orkney Islands,65-74 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
